"time","signal"
"06JUN17:23:00",759.27
"06JUN17:23:30",757.4983333
"07JUN17:00:00",779.7283333
"07JUN17:00:30",970.1766667
"07JUN17:01:00",1001.325
"07JUN17:01:30",1004.0883333
"07JUN17:02:00",998.245
"07JUN17:02:30",999.6633333
"07JUN17:03:00",940.6466667
"07JUN17:03:30",934.7466667
"07JUN17:04:00",932.5283333
"07JUN17:04:30",933.3616667
"07JUN17:05:00",1023.3833333
"07JUN17:05:30",1150.0466667
"07JUN17:06:00",1287.2983333
"07JUN17:06:30",1222.42
"07JUN17:07:00",1047.9616667
"07JUN17:07:30",1004.0166667
"07JUN17:08:00",916.6283333
"07JUN17:08:30",1000.8983333
"07JUN17:09:00",986.1233333
"07JUN17:09:30",1063.7316667
"07JUN17:10:00",1341.4766667
"07JUN17:10:30",1250.2066667
"07JUN17:11:00",1430.9483333
"07JUN17:11:30",1473.1866667
"07JUN17:12:00",1455.6766667
"07JUN17:12:30",1441.79
"07JUN17:13:00",1496.5816667
"07JUN17:13:30",1526.291667
"07JUN17:14:00",1586.645
"07JUN17:14:30",1657.683333
"07JUN17:15:00",1702.651667
"07JUN17:15:30",1670.881667
"07JUN17:16:00",1468.0583333
"07JUN17:16:30",1496.4616667
"07JUN17:17:00",1619.915
"07JUN17:17:30",1721.705
"07JUN17:18:00",1743.098333
"07JUN17:18:30",1775.85
"07JUN17:19:00",1727.123333
"07JUN17:19:30",1668.576667
"07JUN17:20:00",1617.525
"07JUN17:20:30",1642.453333
"07JUN17:21:00",1589.188333
"07JUN17:21:30",1528.908333
"07JUN17:22:00",871.31
"07JUN17:22:30",740.1733333
"07JUN17:23:00",746.325
"07JUN17:23:30",752.5483333
"08JUN17:00:00",771.1366667
"08JUN17:00:30",969.835
"08JUN17:01:00",998.275
"08JUN17:01:30",997.165
"08JUN17:02:00",998.885
"08JUN17:02:30",992.1033333
"08JUN17:03:00",934.7833333
"08JUN17:03:30",930.8233333
"08JUN17:04:00",926.5183333
"08JUN17:04:30",920.4733333
"08JUN17:05:00",933.7583333
"08JUN17:05:30",928.2916667
"08JUN17:06:00",939.4233333
"08JUN17:06:30",929.18
"08JUN17:07:00",992.005
"08JUN17:07:30",1051.5266667
"08JUN17:08:00",1024.9133333
"08JUN17:08:30",994.495
"08JUN17:09:00",949.8233333
"08JUN17:09:30",928.35
"08JUN17:10:00",1170.1283333
"08JUN17:10:30",1269.3416667
"08JUN17:11:00",1374.57
"08JUN17:11:30",1460.66
"08JUN17:12:00",1468.3466667
"08JUN17:12:30",1369.2683333
